,index,y
0,2015-01-01_1J7,7
40302,2015-01-02_1J7,29
80891,2015-01-03_1J7,14
121379,2015-01-04_1J7,7
161889,2015-01-05_1J7,50
202363,2015-01-06_1J7,35
242926,2015-01-07_1J7,36
283360,2015-01-08_1J7,35
323693,2015-01-09_1J7,33
364134,2015-01-10_1J7,13
404707,2015-01-11_1J7,9
445207,2015-01-12_1J7,35
485681,2015-01-13_1J7,29
526160,2015-01-14_1J7,42
566635,2015-01-15_1J7,28
607081,2015-01-16_1J7,39
647612,2015-01-17_1J7,18
687979,2015-01-18_1J7,24
728338,2015-01-19_1J7,37
768724,2015-01-20_1J7,26
809161,2015-01-21_1J7,26
849458,2015-01-22_1J7,29
889683,2015-01-23_1J7,28
930008,2015-01-24_1J7,10
970321,2015-01-25_1J7,22
1010627,2015-01-26_1J7,27
1051003,2015-01-27_1J7,39
1091359,2015-01-28_1J7,38
1131645,2015-01-29_1J7,29
1169325,2015-01-30_1J7,28
1206277,2015-01-31_1J7,12
3311,2015-02-01_1J7,10
43667,2015-02-02_1J7,31
84255,2015-02-03_1J7,33
124743,2015-02-04_1J7,28
165260,2015-02-05_1J7,41
205763,2015-02-06_1J7,39
246322,2015-02-07_1J7,16
286754,2015-02-08_1J7,13
327083,2015-02-09_1J7,36
367527,2015-02-10_1J7,32
408049,2015-02-11_1J7,37
448568,2015-02-12_1J7,41
489084,2015-02-13_1J7,35
529560,2015-02-14_1J7,18
570034,2015-02-15_1J7,18
610477,2015-02-16_1J7,46
651009,2015-02-17_1J7,44
691379,2015-02-18_1J7,37
731734,2015-02-19_1J7,36
772128,2015-02-20_1J7,30
812566,2015-02-21_1J7,5
852865,2015-02-22_1J7,16
893081,2015-02-23_1J7,32
933394,2015-02-24_1J7,35
973721,2015-02-25_1J7,37
1014030,2015-02-26_1J7,33
1054412,2015-02-27_1J7,30
1094765,2015-02-28_1J7,16
6719,2015-03-01_1J7,13
47076,2015-03-02_1J7,47
87661,2015-03-03_1J7,45
128146,2015-03-04_1J7,42
168664,2015-03-05_1J7,28
209153,2015-03-06_1J7,28
249717,2015-03-07_1J7,14
290148,2015-03-08_1J7,15
330488,2015-03-09_1J7,37
370929,2015-03-10_1J7,0
411449,2015-03-11_1J7,40
451966,2015-03-12_1J7,44
492475,2015-03-13_1J7,23
532960,2015-03-14_1J7,15
573434,2015-03-15_1J7,18
613880,2015-03-16_1J7,44
654406,2015-03-17_1J7,27
694777,2015-03-18_1J7,35
735132,2015-03-19_1J7,38
775518,2015-03-20_1J7,28
815957,2015-03-21_1J7,6
856265,2015-03-22_1J7,9
896487,2015-03-23_1J7,30
936793,2015-03-24_1J7,34
977115,2015-03-25_1J7,32
1017435,2015-03-26_1J7,38
1057810,2015-03-27_1J7,31
1098166,2015-03-28_1J7,8
1135881,2015-03-29_1J7,15
1172711,2015-03-30_1J7,38
1209672,2015-03-31_1J7,39
10129,2015-04-01_1J7,51
50485,2015-04-02_1J7,45
91064,2015-04-03_1J7,35
131544,2015-04-04_1J7,14
172060,2015-04-05_1J7,14
212542,2015-04-06_1J7,24
253109,2015-04-07_1J7,40
293544,2015-04-08_1J7,29
333879,2015-04-09_1J7,35
374319,2015-04-10_1J7,36
414846,2015-04-11_1J7,7
455357,2015-04-12_1J7,19
495857,2015-04-13_1J7,38
536334,2015-04-14_1J7,25
576822,2015-04-15_1J7,28
617284,2015-04-16_1J7,33
657793,2015-04-17_1J7,25
698127,2015-04-18_1J7,0
738484,2015-04-19_1J7,7
778863,2015-04-20_1J7,40
819228,2015-04-21_1J7,32
859467,2015-04-22_1J7,38
899827,2015-04-23_1J7,29
940148,2015-04-24_1J7,20
980470,2015-04-25_1J7,16
1020783,2015-04-26_1J7,27
1061161,2015-04-27_1J7,38
1101492,2015-04-28_1J7,41
1139209,2015-04-29_1J7,32
1176072,2015-04-30_1J7,36
53825,2015-05-02_1J7,11
94351,2015-05-03_1J7,19
134816,2015-05-04_1J7,36
175382,2015-05-05_1J7,34
215899,2015-05-06_1J7,39
256455,2015-05-07_1J7,33
296839,2015-05-08_1J7,0
337182,2015-05-09_1J7,5
377668,2015-05-10_1J7,20
418166,2015-05-11_1J7,37
458666,2015-05-12_1J7,27
499142,2015-05-13_1J7,39
539624,2015-05-14_1J7,7
580157,2015-05-15_1J7,14
661134,2015-05-17_1J7,11
701434,2015-05-18_1J7,24
741781,2015-05-19_1J7,43
782223,2015-05-20_1J7,38
822537,2015-05-21_1J7,27
862777,2015-05-22_1J7,29
903158,2015-05-23_1J7,0
983804,2015-05-25_1J7,18
1024098,2015-05-26_1J7,32
1064517,2015-05-27_1J7,36
1104814,2015-05-28_1J7,34
1142535,2015-05-29_1J7,29
1179427,2015-05-30_1J7,11
1213006,2015-05-31_1J7,11
16768,2015-06-01_1J7,36
57159,2015-06-02_1J7,30
97650,2015-06-03_1J7,26
138168,2015-06-04_1J7,34
178732,2015-06-05_1J7,18
219270,2015-06-06_1J7,9
259814,2015-06-07_1J7,21
300146,2015-06-08_1J7,39
340497,2015-06-09_1J7,47
381028,2015-06-10_1J7,32
421566,2015-06-11_1J7,22
462068,2015-06-12_1J7,30
502512,2015-06-13_1J7,15
542994,2015-06-14_1J7,10
583543,2015-06-15_1J7,39
624017,2015-06-16_1J7,27
60520,2015-07-02_1J7,0
101020,2015-07-03_1J7,37
